date,avg_price,min_price,max_price,mandi_count,day,month,day_of_week,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30,std_7,std_14,change_1,change_7
2025-07-17,1284.439393939394,450.0,1800.0,66,17,7,3,1290.4514035087718,1258.8002985074627,1413.2459016393443,1269.1666666666667,2066.725490196078,1369.05,1246.518003686877,1278.8305367391913,1375.8788268730434,123.74374296964326,217.343311939708,-0.0046588422880792235,0.012033665612129152
2025-07-18,1267.4819298245613,750.0,1900.0,57,18,7,4,1284.439393939394,1290.4514035087718,1258.8002985074627,1153.6545454545455,1940.0358064516129,1343.1587301587301,1262.7790585968792,1230.7909741229735,1373.3562668619047,116.79040665622506,105.51073087911874,-0.013202229855955983,0.09866678445337129
2025-07-19,1234.58,450.0,1800.0,50,19,7,5,1267.4819298245613,1284.439393939394,1290.4514035087718,1025.0,1250.0166666666667,1366.3829090909092,1292.7190585968794,1229.6883550753544,1368.9628365588744,57.476771424189046,105.37493315957707,-0.02595850011772205,0.20446829268292666
2025-07-20,1266.304347826087,775.0,1875.0,23,20,7,6,1234.58,1267.4819298245613,1284.439393939394,1300.0344827586207,1025.2421428571429,1316.3039682539682,1287.9004678922315,1246.9070840017073,1367.2961825446114,58.17096257280033,87.59262678489314,0.025696469913725428,-0.02594556942901982
2025-07-21,1221.1818181818182,450.0,1900.0,55,21,7,0,1266.304347826087,1234.58,1267.4819298245613,1413.2459016393443,1218.3926470588235,1349.4265454545452,1260.4627416840137,1247.106310510493,1363.0213583021873,25.077426906369354,87.52592933723984,-0.03563324229418652,-0.1359028058986299
2025-07-22,1247.27868852459,805.0,1900.0,61,22,7,1,1221.1818181818182,1266.304347826087,1234.58,1258.8002985074627,1289.6872413793103,1329.2501886792454,1258.816797400746,1244.077128163727,1360.2889749636988,25.577840845074206,86.66854579079414,0.021370175967430294,-0.009152849738384705
2025-07-23,1256.9454545454546,700.0,2000.0,55,23,7,2,1247.27868852459,1221.1818181818182,1266.304347826087,1290.4514035087718,1185.4603174603174,1362.344827586207,1254.0302332631293,1249.1832093840942,1356.775662529007,21.477627509197966,85.03996037800495,0.007750285569538162,-0.025964518208290266
2025-07-24,1210.967213114754,400.0,1900.0,61,24,7,3,1256.9454545454546,1247.27868852459,1221.1818181818182,1284.439393939394,1269.1666666666667,1383.4107142857142,1243.5342074310379,1245.0261055589576,1351.0275458233084,22.084201155019183,85.40965349380623,-0.036579345002148544,-0.057201749783849065
2025-07-25,1230.0344827586207,800.0,1750.0,29,25,7,4,1210.967213114754,1256.9454545454546,1247.27868852459,1267.4819298245613,1153.6545454545455,1360.65609375,1238.1845721359036,1250.4818153663914,1346.6734921235955,19.726000683485637,81.47288166781404,0.015745487935072466,-0.0295447581419358
2025-07-26,1184.8125,937.0,1600.0,16,26,7,5,1230.0344827586207,1210.967213114754,1256.9454545454546,1234.58,1025.0,1361.5264705882355,1231.0749292787607,1261.89699393782,1340.783026437321,28.332686102490403,54.0213045642253,-0.03676480894844547,-0.04031127994945649
2025-07-27,1277.7931034482758,800.0,1650.0,29,27,7,6,1184.8125,1230.0344827586207,1210.967213114754,1266.304347826087,1300.0344827586207,1331.0837704918033,1232.7161800819304,1260.308323987081,1339.0066708692034,30.927513500257433,53.13321541306746,0.0784770615167174,0.009072665384046052
2025-07-28,1187.979649122807,450.0,1800.0,57,28,7,0,1277.7931034482758,1184.8125,1230.0344827586207,1221.1818181818182,1413.2459016393443,1359.6923076923076,1227.9730130735004,1244.2178773787568,1333.2829155835536,35.23705155272513,33.87499813501369,-0.07028794730782051,-0.027188555024873384
2025-07-29,1183.8648648648648,700.0,1600.0,37,29,7,1,1187.979649122807,1277.7931034482758,1184.8125,1247.27868852459,1258.8002985074627,1332.6666666666667,1218.913895407825,1238.8653464042857,1328.3228555234934,37.523870527938016,37.15502488667516,-0.003463682446900873,-0.05084174390467433
2025-07-30,1228.7540983606557,777.0,1800.0,61,30,7,2,1183.8648648648648,1187.979649122807,1277.7931034482758,1256.9454545454546,1290.4514035087718,1353.9032258064517,1214.8865588099968,1234.4583960365633,1324.151217941967,34.12022660044221,34.09902486095601,0.03791753166094258,-0.02242846424469047
2025-07-31,1200.90625,400.0,1800.0,64,31,7,3,1228.7540983606557,1183.8648648648648,1187.979649122807,1210.967213114754,1284.439393939394,1428.5555555555557,1213.449278365032,1228.491742898035,1316.562907756782,34.5223756371498,31.91924728113364,-0.022663483603276635,-0.008308204388850493
2025-08-01,2253.345185185185,1000.0,3600.0,54,1,8,4,1200.90625,1228.7540983606557,1183.8648648648648,1230.0344827586207,1267.4819298245613,2327.649827586207,1359.636521568827,1298.910546852365,1314.0860863434143,395.5300713400624,276.32560652762305,0.8763706036047236,0.8319365975265725
2025-08-02,2100.5641025641025,1380.0,2800.0,39,2,8,5,2253.345185185185,1200.90625,1228.7540983606557,1184.8125,1234.58,2066.725490196078,1490.4581790779844,1360.7665541783722,1315.2140400890153,472.10068192663454,348.35543473603354,-0.06780189898358902,0.7729084581434638
2025-08-03,1771.6666666666667,1200.0,2500.0,48,3,8,6,2100.5641025641025,2253.345185185185,1200.90625,1277.7931034482758,1266.304347826087,1940.0358064516129,1561.0115452520402,1396.8638626669854,1309.601735429517,471.9254284318396,363.6612107150899,-0.15657576719318367,0.3865051093839955
2025-08-04,1194.8884057971015,750.0,2000.0,69,4,8,0,1771.6666666666667,2100.5641025641025,2253.345185185185,1187.979649122807,1221.1818181818182,1250.0166666666667,1561.9985104912253,1394.9857617823625,1307.7641267338647,471.0216199948324,364.70469751527384,-0.3255568734917583,0.005815551368574257
2025-08-05,995.7012903225807,240.0,2000.0,62,5,8,1,1194.8884057971015,1771.6666666666667,2100.5641025641025,1183.8648648648648,1247.27868852459,1025.2421428571429,1535.1179998423274,1377.0159476250763,1306.7794316493794,500.6358879235772,378.4801207697879,-0.16669934573651213,-0.15894007848924763
2025-08-06,1227.1666666666667,500.0,1750.0,30,6,8,2,995.7012903225807,1194.8884057971015,1771.6666666666667,1228.7540983606557,1256.9454545454546,1218.3926470588235,1534.8912238860432,1374.88889134802,1307.0718989696406,500.79812585252785,379.28963625040717,0.23246467448997432,-0.0012919034785778827
2025-08-07,1342.988,800.0,2000.0,60,7,8,3,1227.1666666666667,995.7012903225807,1194.8884057971015,1200.90625,1210.967213114754,1289.6872413793103,1555.1886167431862,1384.3189475541092,1308.8485909236638,487.7139825422002,376.53179996503803,0.09438109466250166,0.11831210804340486
2025-08-08,1180.2068965517242,750.0,1900.0,29,8,8,4,1342.988,1227.1666666666667,995.7012903225807,2253.345185185185,1230.0344827586207,1185.4603174603174,1401.883146938406,1380.7598342536166,1308.6734768933775,390.6960241068988,378.33351630398784,-0.12120815930468165,-0.4762422977575306
2025-08-09,1188.764705882353,700.0,2200.0,51,9,8,5,1180.2068965517242,1342.988,1227.1666666666667,2100.5641025641025,1184.8125,1269.1666666666667,1271.6260902695847,1381.0421346737846,1305.9934115339004,243.0213934333025,378.17750208416436,0.007251109407708567,-0.4340735879322799
2025-08-10,1146.5849056603774,700.0,2200.0,53,10,8,6,1188.764705882353,1180.2068965517242,1342.988,1771.6666666666667,1277.7931034482758,1153.6545454545455,1182.3286958401147,1371.6701205460777,1305.7577568740946,103.38676030588995,382.5337636961792,-0.03548204284099077,-0.3528213138323364
2025-08-12,1558.9166666666667,900.0,2400.0,12,12,8,1,1146.5849056603774,1188.764705882353,1180.2068965517242,1194.8884057971015,1187.979649122807,1025.0,1234.3327331071957,1398.1656217992106,1323.5549790963169,176.47603588580634,381.67726623696063,0.3596172939053355,0.3046546096718752
2025-08-13,1373.2,450.0,2000.0,65,13,8,2,1558.9166666666667,1146.5849056603774,1188.764705882353,995.7012903225807,1183.8648648648648,1300.0344827586207,1288.2611202039698,1411.6895600231485,1325.9938296710295,146.54009874240603,376.8233490933994,-0.11913187576842899,0.3791284729129154
2025-08-14,1377.2973684210526,600.0,2000.0,57,14,8,3,1373.2,1558.9166666666667,1146.5849056603774,1227.1666666666667,1228.7540983606557,1413.2459016393443,1309.7083633117393,1422.2997935988913,1324.7955452304197,147.09352740217744,373.3514774623997,0.0029838103852699582,0.12233929247946707
2025-08-15,1494.5833333333333,900.0,1900.0,12,15,8,4,1377.2973684210526,1373.2,1558.9166666666667,1342.988,1200.90625,1258.8002985074627,1331.3648395022153,1443.2767281227007,1332.6549797246155,163.09876068257591,368.16975583226645,0.0851566027797892,0.11287914213182337
2025-08-16,1379.9,700.0,2000.0,50,16,8,5,1494.5833333333333,1377.2973684210526,1373.2,1180.2068965517242,2253.345185185185,1290.4514035087718,1359.8924257091119,1380.8877863237592,1335.6365996076565,149.11819153562482,284.93575283150517,-0.0767326456649009,0.16920177642727752
2025-08-17,1412.857142857143,800.0,1900.0,28,17,8,6,1379.9,1494.5833333333333,1377.2973684210526,1188.764705882353,2100.5641025641025,1284.439393939394,1391.9056309912246,1331.7658606304049,1339.917191238248,128.94705493829264,197.04656450226585,0.023883718281862976,0.18850865597364685
2025-08-18,1407.5208333333333,600.0,2000.0,48,18,8,0,1412.857142857143,1379.9,1494.5833333333333,1146.5849056603774,1771.6666666666667,1267.4819298245613,1429.1821920873613,1305.7554439637381,1344.5851546885403,70.82706648451165,153.80058103654605,-0.0037769632625548333,0.22757662898297903
2025-08-19,1762.4406779661017,875.0,25000.0,59,19,8,1,1407.5208333333333,1412.857142857143,1379.9,1558.9166666666667,1194.8884057971015,1234.58,1458.2570508444235,1346.2948919758096,1362.180510620744,140.4822602765376,192.30818423832793,0.25215956753708335,0.13055477284402728
2025-08-20,1374.2631578947369,850.0,2000.0,57,20,8,2,1762.4406779661017,1407.5208333333333,1412.857142857143,1373.2,995.7012903225807,1266.304347826087,1458.4089305436717,1373.3350253738208,1365.7791376230323,140.37551032665942,163.70744952866238,-0.22024997772936727,0.0007742192650281865
2025-08-21,1354.392857142857,550.0,2000.0,56,21,8,3,1374.2631578947369,1762.4406779661017,1407.5208333333333,1377.2973684210526,1227.1666666666667,1221.1818181818182,1455.1368575039291,1382.422610407834,1370.2195055884001,142.826827649623,158.4150136705132,-0.01445887611679808,-0.01663004068936358
2025-08-22,1356.1538461538462,900.0,1700.0,26,22,8,4,1354.392857142857,1374.2631578947369,1762.4406779661017,1494.5833333333333,1342.988,1247.27868852459,1435.3612164782883,1383.3630279902518,1373.8486775093754,146.00290888282345,158.20184121149182,0.0013002054770903104,-0.09262078874568414
2025-08-23,1314.4473684210527,500.0,2200.0,38,23,8,5,1356.1538461538462,1354.392857142857,1374.2631578947369,1379.9,1180.2068965517242,1256.9454545454546,1426.0108405384385,1392.9516331237753,1375.7654079718952,152.11470552443708,148.7257333354759,-0.030753500313460913,-0.047432880338392214
2025-08-24,1307.421052631579,850.0,1866.0,19,24,8,6,1314.4473684210527,1356.1538461538462,1354.392857142857,1412.857142857143,1188.764705882353,1210.967213114754,1410.9485419347868,1401.4270864630055,1378.9805359557895,158.71132598696352,139.27531711382596,-0.005345452361408709,-0.0746261508168804
2025-08-25,1288.8360655737704,450.0,2400.0,61,25,8,0,1307.421052631579,1314.4473684210527,1356.1538461538462,1407.5208333333333,1146.5849056603774,1230.0344827586207,1393.993575111992,1411.5878835996766,1380.9405887162945,165.33961078956543,123.55496974512486,-0.01421499754834199,-0.08432185510070922
2025-08-26,1279.795918367347,800.0,2800.0,49,26,8,1,1288.8360655737704,1307.421052631579,1314.4473684210527,1762.4406779661017,1558.9166666666667,1184.8125,1325.0443237407412,1391.6506872925822,1384.1067026618728,36.58998890420441,120.43327669483631,-0.007014194782327787,-0.27385021557476663
2025-08-27,1234.0740740740741,850.0,2100.0,27,27,8,2,1279.795918367347,1288.8360655737704,1307.421052631579,1374.2631578947369,1373.2,1277.7931034482758,1305.017311766361,1381.7131211550163,1382.6494016827326,42.96992738462961,127.59962980487116,-0.035725886945788043,-0.10201036316466594
2025-08-28,1244.2622950819673,450.0,2400.0,61,28,8,3,1234.0740740740741,1279.795918367347,1288.8360655737704,1354.392857142857,1377.2973684210526,1187.979649122807,1289.284374329091,1372.21061591651,1384.5254898813714,42.02982727560093,132.80138903266496,0.008255761320921762,-0.08131360223887651
2025-08-29,1209.4772727272727,482.0,2500.0,44,29,8,4,1244.2622950819673,1234.0740740740741,1279.795918367347,1356.1538461538462,1494.5833333333333,1183.8648648648648,1268.3305781252948,1351.8458973017914,1385.379236810118,39.630069520947046,134.44234406072255,-0.027956342076895457,-0.10815629350796685
2025-08-30,1289.6129032258063,750.0,2000.0,31,30,8,5,1209.4772727272727,1244.2622950819673,1234.0740740740741,1314.4473684210527,1379.9,1228.7540983606557,1264.7827973831168,1345.3968189607774,1387.4078636389565,35.73356554312654,135.15669388022363,0.06625641697080775,-0.01889346488256749
2025-08-31,1241.4285714285713,800.0,1800.0,21,31,8,6,1289.6129032258063,1209.4772727272727,1244.2622950819673,1307.421052631579,1412.857142857143,1200.90625,1255.3553000684012,1333.151921001594,1388.7586076865757,31.00156275232927,136.33518946910726,-0.037363407016716366,-0.05047530867747452
2025-09-01,2062.630769230769,1000.0,3300.0,65,1,9,0,1241.4285714285713,1289.6129032258063,1209.4772727272727,1288.8360655737704,1407.5208333333333,2253.345185185185,1365.8974005908296,1379.945487851411,1382.401460488095,308.4375709106683,238.19649529997292,0.6614977427635655,0.6003825655767299
2025-09-02,2035.7142857142858,1200.0,2800.0,14,2,9,1,2062.630769230769,1241.4285714285713,1289.6129032258063,1279.795918367347,1762.4406779661017,2100.5641025641025,1473.8857387832497,1399.4650312619954,1380.2397999264347,393.78785256195306,279.557945636666,-0.013049588863896178,0.5906553978631797
2025-09-03,1739.2857142857142,1050.0,2650.0,28,3,9,2,2035.7142857142858,2062.630769230769,1241.4285714285713,1234.0740740740741,1374.2631578947369,1771.6666666666667,1546.0588302420551,1425.538071004208,1379.1604348470694,388.77544150473335,293.69137374535154,-0.1456140350877193,0.4093851826444863
2025-09-04,1208.3494545454546,831.0,2000.0,55,4,9,3,1739.2857142857142,2035.7142857142858,2062.630769230769,1244.2622950819673,1354.392857142857,1194.8884057971015,1540.928424451125,1415.106399390108,1379.6091364720148,393.62848174746756,298.9592043185569,-0.3052610938958372,-0.028862757216433166
2025-09-05,1010.9950943396227,240.0,1750.0,53,5,9,4,1208.3494545454546,1739.2857142857142,2035.7142857142858,1209.4772727272727,1356.1538461538462,995.7012903225807,1512.5738275386034,1390.452202831949,1380.1189299392493,427.2005532296659,317.83120915084356,-0.163325567337696,-0.1641057528432005
2025-09-06,1280.4289999999999,700.0,1766.0,60,6,9,5,1010.9950943396227,1208.3494545454546,1739.2857142857142,1289.6129032258063,1314.4473684210527,1227.1666666666667,1511.2618413634882,1388.0223193733023,1381.8943410503605,428.01274788391544,318.5861213441702,0.2665036726378678,-0.007121441792986127
2025-09-07,1301.3476923076923,800.0,1800.0,52,7,9,6,1280.4289999999999,1010.9950943396227,1208.3494545454546,1241.4285714285713,1307.421052631579,1342.988,1519.8217157747913,1387.5885079215964,1380.50633079395,422.2776595178677,318.70842828201785,0.016337252832989924,0.04826626538018952
2025-09-08,1165.4545454545455,850.0,1450.0,11,8,9,0,1301.3476923076923,1280.4289999999999,1010.9950943396227,2062.630769230769,1288.8360655737704,1180.2068965517242,1391.6536838067593,1378.7755421987947,1380.0145857573775,361.90598280134,323.32169080177454,-0.10442493397914754,-0.43496695441560473
