date,avg_price,min_price,max_price,mandi_count,missing_data,day,month,day_of_week,lag_1,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30
2025-04-02,2034.6,1052.0,2900.0,55.0,0,2,4,2,2311.9245283018868,1400.0655737704917,1364.7083333333333,2029.8387096774193,1577.836244803581,1475.9448179728731,1391.725994827186
2025-04-03,2076.46875,1300.0,2750.0,64.0,0,3,4,3,2034.6,1387.095238095238,1348.0694444444443,1267.8870967741937,1676.3181750756899,1527.9733397982698,1418.6787166013794
2025-04-04,1217.4132142857143,800.0,2000.0,56.0,0,4,4,4,2076.46875,1336.659574468085,1307.732142857143,993.6853703703704,1659.2829807639225,1521.5219877574534,1426.1363113985576
2025-04-05,1007.5,550.0,1550.0,30.0,0,5,4,5,1217.4132142857143,1406.9354838709678,1310.0576923076924,1132.7868852459017,1602.2207687823557,1499.91072402119,1421.9600818903607
2025-04-06,1162.232142857143,600.0,1750.0,56.0,0,6,4,6,1007.5,1328.75,1422.1875,1331.605076923077,1578.4325034762333,1481.3424842252714,1416.3143174214965
2025-04-07,1309.6433962264152,623.0,1850.0,53.0,0,7,4,0,1162.232142857143,1238.888888888889,1374.1846153846154,1254.1379310344828,1588.540290238737,1476.7323971425428,1418.1644995945608
2025-04-08,1161.6091525423728,350.0,1800.0,59.0,0,8,4,1,1309.6433962264152,2311.9245283018868,1456.0767692307693,1234.5294117647059,1424.2095222730925,1455.6989959505147,1415.7338242871497
2025-04-09,1190.1698113207547,450.0,2200.0,53.0,0,9,4,2,1161.6091525423728,2034.6,1400.0655737704917,1160.1308888888889,1303.576638176057,1440.706441489819,1416.7351217015453
2025-04-10,1159.0,400.0,2000.0,45.0,0,10,4,3,1190.1698113207547,2076.46875,1387.095238095238,1215.6423675213675,1172.5096738903428,1424.4139244830164,1414.8470427841664
2025-04-11,1347.5,1000.0,1600.0,14.0,0,11,4,4,1159.0,1217.4132142857143,1336.659574468085,1271.1538461538462,1191.0935004209553,1425.1882405924387,1417.3919145790383
2025-04-12,1178.1818181818182,500.0,1770.0,11.0,0,12,4,5,1347.5,1007.5,1406.9354838709678,1427.4,1215.476617304072,1408.8486930432139,1409.0846418517654
2025-04-13,1134.9702194357367,600.0,1885.0,0.0,1,13,4,6,1178.1818181818182,1162.232142857143,1328.75,1456.851851851852,1211.5820568152997,1395.0072801457666,1398.3552541045615
2025-04-14,1091.7586206896551,700.0,2000.0,29.0,0,14,4,0,1134.9702194357367,1309.6433962264152,1238.888888888889,1508.2,1180.4556603100482,1384.4979752743927,1384.4738747942167
2025-04-15,1032.564,650.0,1814.0,65.0,0,15,4,1,1091.7586206896551,1161.6091525423728,2311.9245283018868,1597.7575757575758,1162.0206385182807,1293.1150803956864,1365.6340889356309
2025-04-16,1084.83453125,600.0,2000.0,64.0,0,16,4,2,1032.564,1190.1698113207547,2034.6,1433.378787878788,1146.9727413653159,1225.2746897706863,1354.0159470480044
2025-04-17,1059.5626315789473,525.0,1800.0,57.0,0,17,4,3,1084.83453125,1159.0,2076.46875,1438.6969696969697,1132.767403019451,1152.638538454897,1341.3781357774037
2025-04-18,1022.2685714285714,650.0,1250.0,42.0,0,18,4,4,1059.5626315789473,1347.5,1217.4132142857143,1364.7083333333333,1086.3057703663899,1138.6996353936725,1329.9634770472449
2025-04-19,1045.9918367346938,543.0,1740.0,49.0,0,19,4,5,1022.2685714285714,1178.1818181818182,1007.5,1348.0694444444443,1067.421487302515,1141.4490523032935,1319.89422345692
2025-04-20,1098.9032258064517,650.0,1600.0,31.0,0,20,4,6,1045.9918367346938,1134.9702194357367,1162.232142857143,1307.732142857143,1062.2690596411885,1136.925558228244,1312.9332595552303
2025-04-21,1047.9707272727273,543.0,1866.0,55.0,0,21,4,0,1098.9032258064517,1091.7586206896551,1309.6433962264152,1310.0576923076924,1056.013646295913,1118.2346533029806,1304.1970273873983
2025-04-22,1081.9639655172414,700.0,1866.0,58.0,0,22,4,1,1047.9707272727273,1032.564,1161.6091525423728,1422.1875,1063.0707842269476,1112.545711372614,1292.8562429046394
2025-04-23,1156.1503508771932,600.0,7800.0,57.0,0,23,4,2,1081.9639655172414,1084.83453125,1190.1698113207547,1374.1846153846154,1073.2587584594037,1110.1157499123597,1285.5884340877258
2025-04-24,1035.803484848485,527.0,1650.0,66.0,0,24,4,3,1156.1503508771932,1059.5626315789473,1159.0,1456.0767692307693,1069.8645946407662,1101.3159988301088,1271.579324608316
2025-04-25,1050.7,675.0,1800.0,50.0,0,25,4,4,1035.803484848485,1022.2685714285714,1347.5,1400.0655737704917,1073.9262272938274,1080.1159988301085,1259.9338054826328
2025-04-26,1034.994423076923,500.0,1750.0,52.0,0,26,4,5,1050.7,1045.9918367346938,1178.1818181818182,1387.095238095238,1072.3551681998601,1069.8883277511875,1248.197111648689
2025-04-27,999.0384615384615,700.0,1400.0,26.0,0,27,4,6,1034.994423076923,1098.9032258064517,1134.9702194357367,1336.659574468085,1058.088773304433,1060.1789164728107,1236.9430745510351
2025-04-28,1026.931052631579,350.0,1900.0,57.0,0,28,4,0,999.0384615384615,1047.9707272727273,1091.7586206896551,1406.9354838709678,1055.083105498555,1055.5483758972339,1224.2762601763889
2025-04-29,1016.9038888888889,627.0,1733.0,54.0,0,29,4,1,1026.931052631579,1081.9639655172414,1032.564,1328.75,1045.7888088373616,1054.4297965321546,1213.8813898060184
2025-04-30,1026.9130303030304,600.0,1400.0,33.0,0,30,4,2,1016.9038888888889,1156.1503508771932,1084.83453125,1238.888888888889,1027.326334469624,1050.2925464645139,1206.8155278531563
